date,support,confidence,ADR,Drugs
0.798438884,12,92.3077,[Hypersensitivity],[ALCOHOL] [ACETYLSALICYLICACID100mg]
0.690283007,19,86.3636,[Posteriorreversibleencephalopathysyndrome],[ETOPOSIDE] [CICLOSPORIN]
0.661549906,10,83.3333,[Toxicitytovariousagents],[TEMAZEPAM] [DIAZEPAM]
0.623051645,11,91.6667,[Toxicitytovariousagents],[OXAZEPAM] [DIAZEPAM]
0.599064455,10,83.3333,[Toxicitytovariousagents] [Cardiacdisorder] [Substanceabuse],[SUBUTEX] [COCAINE]
0.590263552,12,63.1579,[Hyponatraemia],[HUMALOG] [ALLOPURINOL]
0.577434639,11,73.3333,[Acutekidneyinjury],[OMEPRAZOLE] [OLANZAPINE]
0.569537733,10,100,[Drugineffective],[FEXOFENADINE] [CICLOSPORIN]
0.52847827,13,100,[Death],[AZTREONAMLYSINE] [HYPERTONICSALINESOLUTION]
0.52778695,17,89.4737,[Pancreaticcarcinoma],[BYETTA] [VICTOZA]
0.520433268,10,100,[Pneumatosisintestinalis] [Productuseissue],[BUDESONIDE] [BUSULFAN]
0.519744017,10,90.9091,[Serotoninsyndrome],[VANCOMYCIN] [DIPHENHYDRAMINE]
0.511061672,11,64.7059,[Confusionalstate],[LORAZEPAM] [PARACETAMOL]
0.501396584,13,68.4211,[Drugabuse],[OXYCODONE] [METHADONE]
0.489225063,15,100,[Confusionalstate] [Fall] [Lossofconsciousness],[SINEMET] [NOVORAPID]
0.486502276,10,58.8235,[Hyponatraemia],[ALLOPURINOL] [SERTRALINE]
0.482914899,15,62.5,[Plateletcountdecreased],[LOXONIN] [RIBAVIRIN]
0.456149001,10,62.5,[Hepaticfailure],[MIRTAZAPINE] [CARBAMAZEPINE]
0.450154043,10,76.9231,[Urinaryincontinence] [Sexualdysfunction],[FLUOROURACIL] [AMLODIPINE]
